Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,4.95,0.0,0.0,419.43,26.12,0.29,0.0112,287.5,65.8,0.11,0.001701,332.23,32.92,0.11,0.003299,312.67
August,1,0:30,4.49,0.0,0.0,439.44,18.67,0.23,0.012358,277.86,54.5,0.09,0.001596,318.78,17.95,0.0,0.0,313.19
August,1,1:00,3.93,0.0,0.0,364.69,7.37,0.18,0.024225,388.67,38.7,0.39,0.009982,307.51,10.56,0.02,0.002124,338.25
August,1,1:30,3.61,0.08,0.023239,283.72,3.35,0.14,0.040546,384.23,29.0,0.14,0.004897,317.41,4.42,0.03,0.006847,332.47
August,1,2:00,3.3,0.15,0.045705,342.26,3.46,0.11,0.031448,367.1,21.21,0.35,0.016573,323.65,1.13,0.04,0.03317,335.6
August,1,2:30,1.81,0.0,0.0,338.44,0.91,0.02,0.025919,500.45,15.72,0.12,0.007426,345.87,0.0,0.0,0.0,358.75
August,1,3:00,1.72,0.0,0.0,313.68,3.5,0.11,0.032038,434.08,9.7,0.39,0.040736,342.62,0.0,0.0,0.01718,417.59
August,1,3:30,3.03,0.02,0.007634,295.91,4.67,0.03,0.006842,246.48,9.79,0.01,0.001474,352.27,0.0,0.0,0.025981,597.3
August,1,4:00,5.86,0.0,0.000426,263.87,3.73,0.1,0.026839,222.65,8.76,0.09,0.010558,322.33,0.0,0.0,0.013692,852.87
August,1,4:30,4.51,0.0,0.0,281.15,4.08,0.11,0.026276,238.18,8.94,0.01,0.001364,255.89,0.0,0.0,0.025137,564.48
August,1,5:00,6.35,0.02,0.00259,305.55,4.08,0.21,0.050636,246.76,11.01,0.07,0.00655,352.67,0.0,0.0,0.014438,606.26
August,1,5:30,9.73,0.32,0.032471,342.37,3.55,0.0,0.0,301.25,16.57,0.26,0.015515,270.29,0.0,0.0,0.002855,640.82
August,1,6:00,9.01,1.56,0.173726,368.44,5.61,0.17,0.029658,342.11,27.87,0.15,0.00539,272.22,4.49,0.0,0.0,383.05
August,1,6:30,13.21,5.66,0.428062,350.47,12.04,4.55,0.377726,359.1,45.51,0.73,0.015954,277.02,11.33,0.26,0.023397,362.38
August,1,7:00,15.89,4.35,0.27352,331.03,22.2,2.64,0.118731,265.35,78.64,0.38,0.004792,286.08,29.78,0.39,0.013207,353.47
August,1,7:30,20.13,2.92,0.144977,326.12,34.56,4.14,0.119836,277.87,129.45,0.6,0.004627,258.15,56.59,0.67,0.011802,340.77
August,1,8:00,45.47,1.98,0.043558,298.57,73.75,3.07,0.041685,268.15,239.22,0.27,0.001148,272.68,104.41,0.55,0.005275,314.7
August,1,8:30,72.55,3.54,0.048764,282.34,120.81,5.16,0.042684,291.87,350.95,0.78,0.00223,307.99,152.57,1.16,0.00763,230.92
August,1,9:00,103.37,2.64,0.025508,283.35,193.38,6.69,0.034603,304.94,515.68,0.63,0.001225,314.82,219.17,1.65,0.007519,237.56
August,1,9:30,128.96,3.55,0.027522,295.06,259.24,8.17,0.031524,345.59,645.81,4.05,0.006274,308.75,278.67,3.18,0.011406,296.47
