Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,11,1,0.053846,344.71,65,2,0.023242,312.73,94,1,0.010177,331.85,65,1,0.018208,288.62
August,1,0:30,9,0,0.0,368.72,39,0,0.0,339.79,72,0,0.001569,332.9,42,0,0.008092,301.41
August,1,1:00,7,0,0.048482,354.16,17,1,0.068983,415.42,52,1,0.013069,322.41,36,0,0.003346,305.03
August,1,1:30,4,0,0.075755,262.47,9,0,0.037033,311.52,45,1,0.013446,342.9,25,0,0.012323,298.12
August,1,2:00,2,0,0.1,430.52,8,0,0.041667,347.43,27,1,0.023431,329.22,18,0,0.014138,310.34
August,1,2:30,4,0,0.0,380.75,5,0,0.0,357.6,20,0,0.0,354.8,10,0,0.0,355.31
August,1,3:00,3,0,0.0,295.09,5,0,0.0,337.12,16,1,0.046515,367.53,4,0,0.015155,416.37
August,1,3:30,4,0,0.0,582.14,6,0,0.0,160.89,17,0,0.0,306.26,0,0,0.0,221.46
August,1,4:00,5,0,0.0,232.7,4,0,0.0,304.12,14,0,0.005492,389.36,0,0,0.0,1675.34
August,1,4:30,2,0,0.0,174.66,4,0,0.0,320.64,15,0,0.013069,309.83,1,0,0.0,723.06
August,1,5:00,2,0,0.0,389.21,5,0,0.0,273.5,15,0,0.0,462.38,1,0,0.0,204.47
August,1,5:30,2,0,0.0,178.58,4,0,0.0,269.96,19,0,0.0,318.25,1,0,0.0,339.54
August,1,6:00,3,0,0.022222,252.57,4,0,0.0,417.4,25,0,0.0,288.43,13,0,0.028846,242.16
August,1,6:30,5,1,0.190473,286.34,11,3,0.267123,388.57,47,0,0.009231,276.41,21,1,0.051462,281.14
August,1,7:00,11,1,0.062392,242.97,16,0,0.012323,301.37,83,1,0.006533,276.3,41,1,0.015654,242.52
August,1,7:30,20,2,0.074554,289.0,28,0,0.0035,327.07,135,2,0.012517,266.58,65,1,0.015777,270.37
August,1,8:00,60,1,0.009192,238.46,51,1,0.011815,309.9,238,1,0.003308,280.4,111,0,0.0042,264.97
August,1,8:30,95,0,0.003592,264.52,69,2,0.024977,320.5,343,3,0.008531,303.93,163,1,0.008108,259.51
August,1,9:00,133,0,0.003354,265.2,180,2,0.009962,295.94,479,2,0.005031,302.16,247,3,0.010923,267.84
August,1,9:30,157,2,0.011369,259.19,240,3,0.011569,320.32,574,12,0.021446,321.87,306,5,0.016208,260.65
August,1,10:00,169,1,0.0084,281.16,302,4,0.013362,321.15,720,3,0.004542,319.57,361,5,0.013215,274.25
August,1,10:30,209,1,0.004654,277.87,345,11,0.031346,331.28,809,6,0.007458,333.56,420,16,0.038862,277.46
August,1,11:00,239,2,0.0068,286.04,398,5,0.012792,335.79,877,7,0.008267,336.46,475,8,0.016285,284.69
August,1,11:30,239,3,0.014146,279.66,456,10,0.022123,342.15,891,15,0.017167,343.69,493,6,0.012077,287.05
