Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6.07,0.27,0.044794,405.85,45.37,4.27,0.094188,354.96,63.69,0.27,0.004193,318.45,38.56,2.07,0.053551,265.15
August,1,0:30,4.32,0.2,0.045184,374.12,28.22,2.81,0.0997,409.04,43.02,0.03,0.00072,323.09,17.9,0.87,0.048581,296.24
August,1,1:00,2.84,0.15,0.054421,366.03,12.59,1.49,0.118707,466.84,31.49,0.15,0.004837,311.17,12.61,0.43,0.034044,488.06
August,1,1:30,2.02,0.15,0.073353,362.15,6.66,0.39,0.05814,389.19,23.25,0.45,0.019176,322.23,7.51,0.33,0.043401,458.47
August,1,2:00,1.91,0.1,0.052133,440.59,5.83,0.1,0.016814,423.38,17.95,0.51,0.028419,288.86,4.86,0.13,0.026223,586.0
August,1,2:30,1.84,0.02,0.008485,342.0,4.96,0.01,0.002,449.3,13.48,0.08,0.005789,312.55,2.89,0.04,0.014539,526.89
August,1,3:00,1.64,0.02,0.013274,346.16,4.84,0.0,0.0,464.73,11.87,0.14,0.012049,337.42,2.21,0.05,0.021612,386.44
August,1,3:30,1.58,0.02,0.015129,415.26,4.54,0.0,0.0,391.52,12.29,0.03,0.002065,332.02,1.31,0.04,0.031738,362.33
August,1,4:00,1.65,0.01,0.006715,317.81,4.26,0.0,0.0,379.2,11.57,0.21,0.018233,338.74,1.28,0.03,0.026839,489.04
August,1,4:30,1.59,0.01,0.006353,292.81,4.26,0.0,0.0,405.46,12.2,0.08,0.006811,315.07,1.73,0.01,0.005193,348.02
August,1,5:00,1.56,0.05,0.033045,277.86,4.48,0.0,0.0,384.09,12.53,0.13,0.010452,356.95,1.36,0.01,0.006609,316.29
August,1,5:30,1.55,0.09,0.05892,238.68,4.45,0.0,0.0,363.86,14.23,0.12,0.008083,328.71,1.62,0.0,0.0,294.24
August,1,6:00,1.81,0.13,0.073208,252.75,5.0,0.0,0.0,405.45,21.1,0.0,0.0,279.12,4.14,0.07,0.016908,565.36
August,1,6:30,2.63,0.55,0.209013,263.09,8.47,1.75,0.207281,474.04,30.26,0.09,0.003122,265.6,7.21,0.34,0.046944,473.97
August,1,7:00,6.66,0.86,0.128526,241.37,14.5,0.63,0.04365,371.74,54.19,0.12,0.002145,261.11,18.15,0.87,0.047991,304.84
August,1,7:30,11.48,1.68,0.146154,272.29,19.32,0.36,0.018821,371.07,107.23,0.31,0.002881,260.84,45.85,2.64,0.057501,244.05
August,1,8:00,22.08,2.25,0.101732,225.02,23.27,0.74,0.031896,363.65,176.66,0.19,0.001068,261.68,79.49,1.31,0.016428,273.96
August,1,8:30,31.64,5.03,0.159126,246.7,33.26,1.45,0.043694,376.28,253.37,0.62,0.002435,295.25,113.96,2.34,0.020516,269.92
August,1,9:00,40.73,5.0,0.122685,247.95,79.26,4.2,0.052946,255.13,329.82,0.59,0.001789,323.2,154.25,2.86,0.018541,266.51
August,1,9:30,55.86,8.06,0.14425,270.74,114.81,8.85,0.077041,293.08,382.3,4.84,0.012651,311.25,202.31,4.51,0.022281,269.96
August,1,10:00,91.71,11.76,0.128188,274.87,144.63,12.26,0.084775,300.11,436.04,3.67,0.008427,308.97,231.78,5.13,0.022124,280.27
August,1,10:30,112.68,17.62,0.156334,268.88,167.22,14.03,0.083891,335.93,504.4,4.11,0.008156,310.37,268.95,8.79,0.032694,282.56
August,1,11:00,132.32,18.18,0.137398,275.49,189.43,13.25,0.069946,334.83,523.91,4.05,0.007731,327.78,281.15,4.54,0.016149,298.68
August,1,11:30,152.92,20.07,0.131226,274.01,235.34,25.01,0.106251,335.0,527.18,5.89,0.011177,331.53,294.99,4.7,0.015919,300.07
August,1,12:00,162.44,20.88,0.12856,277.15,242.67,11.08,0.045674,340.92,541.35,5.03,0.009289,330.5,296.07,4.09,0.013813,304.03
August,1,12:30,168.74,16.85,0.099875,296.81,246.05,11.91,0.048407,341.97,572.93,5.52,0.00963,330.59,304.17,6.47,0.021267,300.75
August,1,13:00,164.57,15.1,0.091738,292.48,259.34,11.32,0.043661,343.57,584.77,4.39,0.007505,332.53,308.66,6.34,0.020536,312.54
August,1,13:30,163.73,14.66,0.089534,295.06,273.06,13.13,0.048096,340.64,648.17,7.09,0.010938,332.57,309.7,7.66,0.024722,310.74
August,1,14:00,159.21,19.58,0.12296,291.71,275.0,13.22,0.048071,343.47,707.0,7.13,0.010088,333.62,303.63,4.34,0.014291,311.19
August,1,14:30,159.66,15.18,0.095083,290.72,262.34,11.84,0.045133,345.5,738.79,9.57,0.012957,333.21,313.44,6.75,0.021542,313.6
August,1,15:00,161.16,19.68,0.122081,292.27,263.87,11.36,0.043034,343.01,732.3,7.11,0.009711,338.08,300.08,4.21,0.014024,310.54
August,1,15:30,159.94,19.54,0.122202,293.07,253.68,10.66,0.042018,341.81,699.09,7.78,0.011123,326.81,288.2,3.96,0.013752,310.45
August,1,16:00,157.03,19.1,0.121613,300.0,247.02,10.03,0.040602,344.56,680.09,4.66,0.006851,323.38,288.9,3.52,0.012196,315.05
August,1,16:30,142.54,19.06,0.13371,285.6,244.51,9.92,0.04056,346.89,643.04,4.6,0.007153,331.63,274.98,3.08,0.011205,303.66
August,1,17:00,129.24,18.04,0.139597,289.32,231.13,9.21,0.039861,345.41,575.69,3.31,0.005756,328.99,259.37,1.96,0.00757,302.93
August,1,17:30,119.35,16.5,0.138243,294.01,221.2,23.84,0.107776,338.64,527.99,3.16,0.005976,326.49,243.89,2.13,0.008739,303.0
August,1,18:00,106.04,13.95,0.13154,291.67,204.22,13.12,0.064245,359.13,432.43,3.19,0.007369,330.15,235.27,1.28,0.005432,302.41
August,1,18:30,94.05,13.51,0.143674,309.49,196.38,13.29,0.067696,355.72,397.05,8.17,0.020582,318.39,214.12,2.53,0.011832,308.92
